"Story","Title","Result","Date","Stability","Duration (s)"
"Get Bank Virtual Account","As a user I can get bank virtual account with a valid path","SUCCESS","2023-12-18T11:14:41.447289+07:00[Asia/Jakarta]","0.0","1.49"
"Get Bank Virtual Account","As a user I can't get bank virtual account without path","SUCCESS","2023-12-18T11:14:42.948525+07:00[Asia/Jakarta]","0.0","1.17"
"Get Payment Method","As a user I can get payment method with a valid path","SUCCESS","2023-12-18T11:14:44.145635+07:00[Asia/Jakarta]","0.0","1.36"
"Get Payment Method","As a user I can't get payment method without path","SUCCESS","2023-12-18T11:14:45.525981+07:00[Asia/Jakarta]","0.0","1.26"
"Payment Checkout","As a user I can payment checkout with a valid path","SUCCESS","2023-12-18T11:14:46.798598+07:00[Asia/Jakarta]","0.0","5.48"
"Payment Checkout","As a user I can't payment checkout without path","SUCCESS","2023-12-18T11:14:52.294073+07:00[Asia/Jakarta]","0.0","1.29"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment checkout request","SUCCESS","2023-12-18T11:14:53.593722+07:00[Asia/Jakarta]","0.0","1.24"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the payment method ID request","SUCCESS","2023-12-18T11:14:54.850053+07:00[Asia/Jakarta]","0.0","1.21"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the installment ID request","SUCCESS","2023-12-18T11:14:56.07316+07:00[Asia/Jakarta]","0.0","1.25"
"Payment Checkout","As a user I can't payment checkout if I don't fill in the data payment bank code request","SUCCESS","2023-12-18T11:14:57.358032+07:00[Asia/Jakarta]","0.0","1.18"
"Payment Checkout","As a user I can't payment checkout if the installment ID payment has previously been made","SUCCESS","2023-12-18T11:14:58.555563+07:00[Asia/Jakarta]","0.0","1.71"
"Get Avatar","As a user I can get avatar data with a valid path","SUCCESS","2023-12-18T11:15:00.278173+07:00[Asia/Jakarta]","0.0","1.47"
"Get Avatar","As a user I can't get avatar data with an invalid path","SUCCESS","2023-12-18T11:15:01.763028+07:00[Asia/Jakarta]","0.0","1.26"
"Get Profile","As a user I can get profile with a valid path","SUCCESS","2023-12-18T11:15:03.043155+07:00[Asia/Jakarta]","0.0","2.13"
"Get Profile","As a user I can't get profile without path","SUCCESS","2023-12-18T11:15:05.183123+07:00[Asia/Jakarta]","0.0","1.13"
"Update Email","As a user I can't update email without path","SUCCESS","2023-12-18T11:15:06.346647+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I don't fill in the update email request","SUCCESS","2023-12-18T11:15:07.508544+07:00[Asia/Jakarta]","0.0","1.1"
"Update Email","As a user I can't update email if I fill in email already regist in database","SUCCESS","2023-12-18T11:15:08.62657+07:00[Asia/Jakarta]","0.0","1.38"
"Update Email","As a user I can't update email if the email request format is not appropriate (e.g.","SUCCESS","2023-12-18T11:15:10.018114+07:00[Asia/Jakarta]","0.0","1.18"
"Update Photo Profile","As a user I can update photo profile with a valid path","SUCCESS","2023-12-18T11:15:11.239578+07:00[Asia/Jakarta]","0.0","1.66"
"Update Photo Profile","As a user I can't update photo profile without path","SUCCESS","2023-12-18T11:15:12.90875+07:00[Asia/Jakarta]","0.0","1.08"
"Update Photo Profile","As a user I can't update photo profile if I don't fill in the update photo profile request","SUCCESS","2023-12-18T11:15:14.004999+07:00[Asia/Jakarta]","0.0","1.14"
"Update Username","As a user I can update username with a valid path","SUCCESS","2023-12-18T11:15:15.182009+07:00[Asia/Jakarta]","0.0","1.72"
"Update Username","As a user I can't update username without path","SUCCESS","2023-12-18T11:15:16.918818+07:00[Asia/Jakarta]","0.0","1.21"
"Update Username","As a user I can't update username if I don't fill in the update username request","SUCCESS","2023-12-18T11:15:18.171068+07:00[Asia/Jakarta]","0.0","1.3"
"Upload Photo","As a user I can upload photo with a valid path","SUCCESS","2023-12-18T11:15:19.486775+07:00[Asia/Jakarta]","0.0","3.89"
"Upload Photo","As a user I can't upload photo without path","SUCCESS","2023-12-18T11:15:23.397734+07:00[Asia/Jakarta]","0.0","1.27"
"Upload Photo","As a user I can't upload photo if I don't fill in the upload photo request","SUCCESS","2023-12-18T11:15:24.685682+07:00[Asia/Jakarta]","0.0","1.08"
"Upload Photo","As a user I can't upload photo if the photo request format is not appropriate (e.g. other than","SUCCESS","2023-12-18T11:15:25.776633+07:00[Asia/Jakarta]","0.0","1.3"
"Upload Photo","As a user I can't upload photo if size more than 5 MB","SUCCESS","2023-12-18T11:15:27.086411+07:00[Asia/Jakarta]","0.0","119.02"
"Get All District","As a user I can get all district data with a valid path","SUCCESS","2023-12-18T11:17:26.141763+07:00[Asia/Jakarta]","0.0","0.52"
"Get All District","As a user I can't get all district data with an invalid path","SUCCESS","2023-12-18T11:17:26.675207+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Province","As a user I can get all province data with a valid path","SUCCESS","2023-12-18T11:17:26.911243+07:00[Asia/Jakarta]","0.0","0.29"
"Get All Province","As a user I can't get all province data with an invalid path","SUCCESS","2023-12-18T11:17:27.210458+07:00[Asia/Jakarta]","0.0","0.23"
"Get All Regency","As a user I can get all regency data with a valid path","SUCCESS","2023-12-18T11:17:27.454377+07:00[Asia/Jakarta]","0.0","0.54"
"Get All Regency","As a user I can't get all regency data with an invalid path","SUCCESS","2023-12-18T11:17:28.006284+07:00[Asia/Jakarta]","0.0","0.22"
"Register Data User","As a user I can register data user with a valid input","SUCCESS","2023-12-18T11:17:28.234944+07:00[Asia/Jakarta]","0.0","0.85"
"Register Data User","As a user I can't register data user without path","SUCCESS","2023-12-18T11:17:29.098036+07:00[Asia/Jakarta]","0.0","0.24"
"Register Data User","As a user I can't register data user if I don't fill in the register data user request","SUCCESS","2023-12-18T11:17:29.347526+07:00[Asia/Jakarta]","0.0","0.28"
"Register Data User","As a user I can't register data user with an invalid email","SUCCESS","2023-12-18T11:17:29.635532+07:00[Asia/Jakarta]","0.0","0.33"
"Get Installment List","As a user I can get installment list with a valid path","SUCCESS","2023-12-18T11:17:29.979943+07:00[Asia/Jakarta]","0.0","1.5"
"Get Installment List","As a user I can't get installment list without path","SUCCESS","2023-12-18T11:17:31.492231+07:00[Asia/Jakarta]","0.0","1.21"
"Get My Warehouse Rental","As a user I can get my warehouse rental with a valid path","SUCCESS","2023-12-18T11:17:32.719062+07:00[Asia/Jakarta]","0.0","2.17"
"Get My Warehouse Rental","As a user I can't get my warehouse rental without path","SUCCESS","2023-12-18T11:17:34.902463+07:00[Asia/Jakarta]","0.0","1.49"
"Get My Warehouse Submitted","As a user I can get my warehouse submitted with a valid path","SUCCESS","2023-12-18T11:17:36.413729+07:00[Asia/Jakarta]","0.0","2.24"
"Get My Warehouse Submitted","As a user I can't get my warehouse submitted without path","SUCCESS","2023-12-18T11:17:38.669343+07:00[Asia/Jakarta]","0.0","1.31"
"Get Transaction Info","As a user I can get transaction info with a valid path","SUCCESS","2023-12-18T11:17:39.997999+07:00[Asia/Jakarta]","0.0","1.76"
"Get Transaction Info","As a user I can't get transaction info without path","SUCCESS","2023-12-18T11:17:41.779853+07:00[Asia/Jakarta]","0.0","1.21"
