"Story","Title","Result","Date","Stability","Duration (s)"
"Update Email","As a user I can't update email without path","SUCCESS","2023-12-20T03:59:14.624061+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I don't fill in the update email request","SUCCESS","2023-12-20T03:59:15.778758+07:00[Asia/Jakarta]","0.0","1.14"
"Update Email","As a user I can't update email if I fill in email already regist in database","SUCCESS","2023-12-20T03:59:16.937222+07:00[Asia/Jakarta]","0.0","1.22"
"Update Email","As a user I can't update email if the email request format is not appropriate (e.g.","SUCCESS","2023-12-20T03:59:18.17878+07:00[Asia/Jakarta]","0.0","1.01"
"Update Photo Profile","As a user I can update photo profile with a valid path","SUCCESS","2023-12-20T03:59:19.21543+07:00[Asia/Jakarta]","0.0","1.5"
"Update Photo Profile","As a user I can't update photo profile without path","SUCCESS","2023-12-20T03:59:20.726302+07:00[Asia/Jakarta]","0.0","1.07"
"Update Photo Profile","As a user I can't update photo profile if I don't fill in the update photo profile request","SUCCESS","2023-12-20T03:59:21.819965+07:00[Asia/Jakarta]","0.0","1.13"
"Update Username","As a user I can update username with a valid path","SUCCESS","2023-12-20T03:59:22.974793+07:00[Asia/Jakarta]","0.0","1.5"
"Update Username","As a user I can't update username without path","SUCCESS","2023-12-20T03:59:24.495433+07:00[Asia/Jakarta]","0.0","1.28"
"Update Username","As a user I can't update username if I don't fill in the update username request","SUCCESS","2023-12-20T03:59:25.791279+07:00[Asia/Jakarta]","0.0","1.06"
"Upload Photo","As a user I can upload photo with a valid path","SUCCESS","2023-12-20T03:59:26.878247+07:00[Asia/Jakarta]","0.0","3.89"
"Upload Photo","As a user I can't upload photo if I don't fill in the upload photo request","SUCCESS","2023-12-20T03:59:31.773973+07:00[Asia/Jakarta]","0.0","1.09"
"Upload Photo","As a user I can't upload photo if the photo request format is not appropriate (e.g. other than","SUCCESS","2023-12-20T03:59:32.881713+07:00[Asia/Jakarta]","0.0","1.27"
"Get Installment List","As a user I can get installment list with a valid path","SUCCESS","2023-12-20T04:00:10.715779+07:00[Asia/Jakarta]","0.0","1.39"
"Get Installment List","As a user I can't get installment list without path","SUCCESS","2023-12-20T04:00:12.113414+07:00[Asia/Jakarta]","0.0","1.22"
"Get My Warehouse Rental","As a user I can get my warehouse rental with a valid path","SUCCESS","2023-12-20T04:00:13.35009+07:00[Asia/Jakarta]","0.0","2.06"
"Get My Warehouse Rental","As a user I can't get my warehouse rental without path","SUCCESS","2023-12-20T04:00:15.422394+07:00[Asia/Jakarta]","0.0","1.19"
"Get My Warehouse Submitted","As a user I can get my warehouse submitted with a valid path","SUCCESS","2023-12-20T04:00:16.638677+07:00[Asia/Jakarta]","0.0","2.03"
"Get My Warehouse Submitted","As a user I can't get my warehouse submitted without path","SUCCESS","2023-12-20T04:00:18.682681+07:00[Asia/Jakarta]","0.0","1.23"
"Get Transaction Info","As a user I can get transaction info with a valid path","SUCCESS","2023-12-20T04:00:19.929219+07:00[Asia/Jakarta]","0.0","1.59"
"Get Transaction Info","As a user I can't get transaction info without path","SUCCESS","2023-12-20T04:00:21.530705+07:00[Asia/Jakarta]","0.0","1.31"
